idDisciplina;cveDisciplina;descDisciplina;idCampoConocimiento
65;2014;Ecología;7
66;2015;Edafología;7
67;2016;Electrónica;7
68;2017;Etnobiología;7
69;2018;Etología;7
70;2019;Farmacia;7
71;2020;Farmacología;7
72;2021;Fisiología Humana;7
73;2022;Genética;7
74;2023;Inmunología;7
75;2024;Microbiología;7
76;2025;Neurociencias;7
77;2026;Otras especialidades de la biología;7
78;2027;Paleontología;7
79;2028;Polímeros y materiales;7
80;2029;Química analítica;7
81;2030;Química farmacéutica;7
82;2031;Química física;7
83;2032;Química inorgánica;7
84;2033;Química macromolecular;7
85;2034;Química nuclear;7
86;2035;Química orgánica;7
87;2036;Radiobiología;7
88;2037;Simbiosis;7
89;2038;Tecnología de alimentos;7
90;2039;Virología;7
592;Proteomi;Proteómica;7
51;2001;Antropología (física);7
52;2002;Biofísica;7
53;2003;Biología animal (zoología);7
54;2004;Biología celular;7
55;2005;Biología de insectos (Entomología);7
56;2006;Biología humana;7
57;2007;Biología integrativa;7
58;2040;Biología molecular;7
59;2008;Biología vegetal (botánica);7
60;2009;Biomatemáticas;7
61;2010;Biometría;7
62;2011;Bioquímica;7
63;2012;Biotecnología;7
64;2013;Ciencias pesqueras;7
492;2101;Desarrollo Sustentable ;73
698;2201;Bioinformática;115
699;2202;Biología del desarrollo / embriología;115
700;2203;Biología estructural;115
701;2204;Campos emergentes;115
702;2205;Ciencia de los alimentos;115
703;2206;Enfermedades infecciosas;115
704;2207;Farmacología animal;115
705;2208;Farmacología humana;115
706;2209;Genómica animal;115
707;2210;Genómica humana;115
708;2211;Neurobiología;115
709;2212;Salud ambiental;115
710;2301;Anatomía;116
711;2302;Bacteriología;116
712;2303;Biología de poblaciones;116
713;2304;Biología evolutiva;116
714;2305;Endocrinología;116
715;2306;Fisiología biofísica;116
716;2307;Fisiología vegetal;116
717;2308;Genética vegetal;116
718;2309;Genética y evolución;116
719;2310;Limnología;116
720;2311;Morfología;116
721;2312;Parasitología;116
722;2401;Electroquímica;117
723;2402;Química general;117
724;2403;Química teórica;117
725;2501;Bioseguridad;118
726;2502;Biosistemática y manejo de recursos naturales;118
727;2503;Conservación de ecosistemas;118
728;2504;Ecología marina;118
729;2505;Ecología molecular;118
730;2506;Gestión ambiental;118
731;2507;Gestión ambiental para la sustentabilidad;118
732;2508;Manejo de recursos marinos;118
733;2509;Mitigación y adaptación al cambio climático;118
734;2510;Química de recursos naturales;118
735;2511;Química del ambiente;118
736;2512;Seguridad hídrica;118
168;5001;Administración pública;19
169;5002;Ciencias políticas;19
170;5003;Ideologías políticas;19
171;5004;Instituciones políticas;19
172;5005;Opinión pública;19
173;5006;Otras especialidades políticas;19
174;5007;Relaciones internacionales;19
175;5008;Sistemas políticos;19
176;5009;Sociología política;19
177;5010;Teoría política;19
178;5011;Vida política;19
512;PP;Políticas públicas;19
552;ESTAREA;Estudios de Área;19
179;5101;Didáctica, pedagogí­a y currí­culo;20
180;5102;Educación;20
932;5103;Polí­tica Educativa;20
181;5201;Actividad económica;21
182;5202;Contabilidad económica;21
183;5203;Econometría;21
184;5204;Economía del cambio tecnológico;21
185;5205;Economía general;21
186;5206;Economía internacional;21
187;5207;Economía sectorial;21
