idSubDisciplina;cveSubDisciplina;descSubDisciplina;idDisciplina
1201;201401;Conservación ecológica;65
3956;201402;Ecología y ciencias ambientales;65
1203;201501;Otras;66
1204;201601;Otras;67
1205;201701;Etnobotánica;68
4655;201703;Otras;68
4631;201702;Etnoecología ;68
1233;201805;Otras;69
1207;201801;Acuacultura;69
1208;201802;Animal;69
1209;201803;Humana;69
1210;201804;Insectos;69
1211;201901;Otras;70
934;202001;Biofarmacia;71
1212;202002;Otras;71
1223;202111;Fisiología del medio interno;72
1224;202112;Fisiología del movimiento;72
1225;202113;Fisiología del músculo;72
1226;202114;Fisiología del sistema nervioso central;72
1227;202115;Fisiología endocrina;72
1228;202116;Fisiología humana;72
1229;202117;Metabolismo humano;72
1230;202118;Neurofisiología;72
1231;202119;Otras;72
1232;202120;Regulación de la temperatura humana;72
1213;202101;Anestesiología;72
1214;202102;Fisiología cardiovascular;72
1215;202103;Fisiología de la audición;72
1216;202104;Fisiología de la digestión;72
1217;202105;Fisiología de la reproducción;72
1218;202106;Fisiología de la respiración;72
1219;202107;Fisiología de la visión;72
1220;202108;Fisiología del ejercicio;72
1221;202109;Fisiología del equilibrio;72
1222;202110;Fisiología del lenguaje;72
1234;202201;Acuacultura;73
1235;202202;Citogenética;73
1236;202203;Citogenética animal;73
1237;202204;Embriología;73
1238;202205;Genética clínica;73
1239;202206;Genética de poblaciones;73
1240;202207;Genética del desarrollo;73
1241;202208;Genética humana;73
1242;202209;Genética molecular de plantas;73
1243;202210;Genética Toxicológica;73
1244;202211;Ingeniería genética;73
3910;202212;Otras;73
1245;202301;Anticuerpos;74
1246;202302;Anticuerpos de tejidos;74
1247;202303;Antígenos;74
1248;202304;Catálisis, autocatálisis, inmunocátalisis;74
1249;202305;Formación de anticuerpos;74
1250;202306;Hipersensibilidad;74
1251;202307;Inmunización;74
1252;202308;Inmunología;74
1253;202309;Inmunopatología;74
1254;202310;Otras;74
1255;202311;Reacción antígeno-anticuerpo;74
1256;202312;Trasplante de órganos;74
1257;202313;Vacunas;74
1258;202401;Antibióticos;75
1259;202402;Bacteriófagos;75
1260;202403;Bacteriología;75
1261;202404;Fisiología bacteriana;75
1262;202405;Hongos;75
1263;202406;Metabolismo bacteriano;75
1264;202407;Metabolismo microbiano;75
1265;202408;Micología (levaduras);75
1266;202409;Microbiología;75
1267;202410;Microbiología clínica;75
1268;202411;Microbiología industrial;75
1269;202412;Microbiología: degradación de residuos vegetales;75
1270;202413;Mohos;75
1271;202414;Otras;75
1272;202415;Procesos microbianos;75
1273;202501;Neurofisiología;76
1274;202502;Neuroquímica;76
1275;202601;Otras;77
1276;202701;Otras;78
1277;202702;Paleontología animal;78
